rank_combined,fast_window,mid_window,slow_window,selection_style,final_count,strategy_nav,strategy_return_pct,max_drawdown_pct,target_buy_count,target_holding_days,target_signal_days,target_latest_in_basket,target_pnl_dollar,target_buy_cost,target_sell_proceeds,target_ending_market_value,target_pnl_rank,target_buy_count_rank,target_holding_days_rank,combined_score,latest_basket,notes
102,2,8,20,er_over_vol,20,1.2521999820897043,25.21999820897043,-17.457062817263136,7,21,25,False,478.9680162948789,406261.22430840204,406740.1923246969,0.0,136,31,112,1206.3369911482096,HK.02252|HK.01288|HK.00522|HK.01888|HK.03618|HK.03988|HK.01548|HK.00470|HK.06166|HK.00998,
103,3,8,20,er_over_vol,10,1.1531285625337606,15.312856253376061,-19.019765858651393,7,21,24,False,-2485.6983086243854,376974.1071831806,374488.4088745562,0.0,157,31,112,1174.5160026736953,HK.09696|HK.02252|HK.01288|HK.00522|HK.01888|HK.03988|HK.01548|HK.00470|HK.06166|HK.01877,
104,3,8,20,er_over_vol,15,1.1531285625337606,15.312856253376061,-19.019765858651393,7,21,24,False,-2485.6983086243854,376974.1071831806,374488.4088745562,0.0,157,31,112,1174.5160026736953,HK.09696|HK.02252|HK.01288|HK.00522|HK.01888|HK.03988|HK.01548|HK.00470|HK.06166|HK.01877,
105,3,8,20,er_over_vol,20,1.1531285625337606,15.312856253376061,-19.019765858651393,7,21,24,False,-2485.6983086243854,376974.1071831806,374488.4088745562,0.0,157,31,112,1174.5160026736953,HK.09696|HK.02252|HK.01288|HK.00522|HK.01888|HK.03988|HK.01548|HK.00470|HK.06166|HK.01877,
106,3,8,15,er_over_vol,10,1.2305682816815915,23.05682816815915,-15.970009439469434,7,16,20,False,-6293.587722253171,393438.35060452553,387144.76288227236,0.0,172,31,124,1088.379662242513,HK.01888|HK.01548|HK.00522|HK.02252|HK.01288|HK.09696|HK.00470|HK.01877|HK.00148|HK.06166,
107,3,8,15,er_over_vol,15,1.2305682816815915,23.05682816815915,-15.970009439469434,7,16,20,False,-6293.587722253171,393438.35060452553,387144.76288227236,0.0,172,31,124,1088.379662242513,HK.01888|HK.01548|HK.00522|HK.02252|HK.01288|HK.09696|HK.00470|HK.01877|HK.00148|HK.06166,
108,3,8,15,er_over_vol,20,1.2305682816815915,23.05682816815915,-15.970009439469434,7,16,20,False,-6293.587722253171,393438.35060452553,387144.76288227236,0.0,172,31,124,1088.379662242513,HK.01888|HK.01548|HK.00522|HK.02252|HK.01288|HK.09696|HK.00470|HK.01877|HK.00148|HK.06166,
109,3,6,15,er_over_vol,10,1.1367137201198658,13.671372011986582,-18.848919050373148,7,16,20,False,-5781.6373849104275,378151.1788506665,372369.5414657561,0.0,166,31,124,1080.1881165200189,HK.01888|HK.01548|HK.00522|HK.02252|HK.01288|HK.09696|HK.00470|HK.01877|HK.00148|HK.06166,
110,3,6,15,er_over_vol,15,1.1367137201198658,13.671372011986582,-18.848919050373148,7,16,20,False,-5781.6373849104275,378151.1788506665,372369.5414657561,0.0,166,31,124,1080.1881165200189,HK.01888|HK.01548|HK.00522|HK.02252|HK.01288|HK.09696|HK.00470|HK.01877|HK.00148|HK.06166,
111,3,6,15,er_over_vol,20,1.1367137201198658,13.671372011986582,-18.848919050373148,7,16,20,False,-5781.6373849104275,378151.1788506665,372369.5414657561,0.0,166,31,124,1080.1881165200189,HK.01888|HK.01548|HK.00522|HK.02252|HK.01288|HK.09696|HK.00470|HK.01877|HK.00148|HK.06166,
